# file...... distribution_load.csv
# date...... Wed Jul 26 23:24:26 2017
# user...... hieutn
# host...... (null)
# target.... substation 52
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,distribution_load,positive_sequence_voltage
2004-07-01 23:00:00 CDT,+125141-27149.6j,+2401+0i
2004-07-01 23:05:00 CDT,+96539.1-34471.3j,+2401+0i
2004-07-01 23:10:00 CDT,+132717-25149.8j,+2401+0i
2004-07-01 23:15:00 CDT,+112676-30322.1j,+2401+0i
2004-07-01 23:20:00 CDT,+103993-32570.4j,+2401+0i
2004-07-01 23:25:00 CDT,+106551-33296.2j,+2401+0i
2004-07-01 23:30:00 CDT,+90166.8-36105.3j,+2401+0i
2004-07-01 23:35:00 CDT,+100074-33571.4j,+2401+0i
2004-07-01 23:40:00 CDT,+90877.3-35941.9j,+2401+0i
2004-07-01 23:45:00 CDT,+95862.6-34651.4j,+2401+0i
2004-07-01 23:50:00 CDT,+86641-37013.5j,+2401+0i
2004-07-01 23:55:00 CDT,+92531.7-35507.1j,+2401+0i
2004-07-02 00:00:00 CDT,+62993-24076.9j,+2401+0i
2004-07-02 00:05:00 CDT,+64634.1-23666.1j,+2401+0i
2004-07-02 00:10:00 CDT,+72687.2-21610j,+2401+0i
2004-07-02 00:15:00 CDT,+73171.9-21483.4j,+2401+0i
2004-07-02 00:20:00 CDT,+84397.9-18618.9j,+2401+0i
2004-07-02 00:25:00 CDT,+71065.2-22033j,+2401+0i
2004-07-02 00:30:00 CDT,+92263.5-17838.4j,+2401+0i
2004-07-02 00:35:00 CDT,+68573.2-22661.5j,+2401+0i
2004-07-02 00:40:00 CDT,+73587.6-21402.6j,+2401+0i
2004-07-02 00:45:00 CDT,+75290.7-20953.8j,+2401+0i
2004-07-02 00:50:00 CDT,+75326.3-20944.3j,+2401+0i
2004-07-02 00:55:00 CDT,+80796.6-19540.1j,+2401+0i
2004-07-02 01:00:00 CDT,+76331-15587.4j,+2401+0i
2004-07-02 01:05:00 CDT,+63318.6-18903.2j,+2401+0i
2004-07-02 01:10:00 CDT,+60793.1-20725.5j,+2401+0i
2004-07-02 01:15:00 CDT,+65452.6-18351.5j,+2401+0i
2004-07-02 01:20:00 CDT,+63807.3-20073j,+2401+0i
2004-07-02 01:25:00 CDT,+61940.8-19245.1j,+2401+0i
2004-07-02 01:30:00 CDT,+50989.5-22046j,+2401+0i
2004-07-02 01:35:00 CDT,+53483-21402.5j,+2401+0i
2004-07-02 01:40:00 CDT,+53934.4-21295.4j,+2401+0i
2004-07-02 01:45:00 CDT,+53544.4-21389.9j,+2401+0i
2004-07-02 01:50:00 CDT,+50923-22050.1j,+2401+0i
2004-07-02 01:55:00 CDT,+48395.5-22691j,+2401+0i
2004-07-02 02:00:00 CDT,+45566.1-18895.7j,+2401+0i
2004-07-02 02:05:00 CDT,+45614.2-18895.6j,+2401+0i
2004-07-02 02:10:00 CDT,+45566.1-18895.6j,+2401+0i
2004-07-02 02:15:00 CDT,+45616-18895.6j,+2401+0i
2004-07-02 02:20:00 CDT,+47712.9-18351.8j,+2401+0i
2004-07-02 02:25:00 CDT,+45566.1-18895.7j,+2401+0i
2004-07-02 02:30:00 CDT,+50232.5-17714.1j,+2401+0i
2004-07-02 02:35:00 CDT,+49854.4-17807.2j,+2401+0i
2004-07-02 02:40:00 CDT,+45566.1-18895.7j,+2401+0i
2004-07-02 02:45:00 CDT,+45566.1-18895.7j,+2401+0i
2004-07-02 02:50:00 CDT,+49470.4-17904.6j,+2401+0i
2004-07-02 02:55:00 CDT,+45566.1-18895.7j,+2401+0i
2004-07-02 03:00:00 CDT,+49220.4-17945j,+2401+0i
2004-07-02 03:05:00 CDT,+51140.5-18682.3j,+2401+0i
2004-07-02 03:10:00 CDT,+44140.6-19238j,+2401+0i
2004-07-02 03:15:00 CDT,+44140.6-19238j,+2401+0i
2004-07-02 03:20:00 CDT,+44140.6-19238j,+2401+0i
2004-07-02 03:25:00 CDT,+44192.2-19237.9j,+2401+0i
2004-07-02 03:30:00 CDT,+44192.2-19237.9j,+2401+0i
2004-07-02 03:35:00 CDT,+44140.6-19237.9j,+2401+0i
2004-07-02 03:40:00 CDT,+44187.6-19237.9j,+2401+0i
2004-07-02 03:45:00 CDT,+44140.6-19238j,+2401+0i
2004-07-02 03:50:00 CDT,+44140.6-19238j,+2401+0i
2004-07-02 03:55:00 CDT,+48840.8-19224.5j,+2401+0i
2004-07-02 04:00:00 CDT,+49459.3-23376.6j,+2401+0i
2004-07-02 04:05:00 CDT,+44758.3-23390.6j,+2401+0i
