#time	topic  value
67680000000000   clear_price   0.2
67740000000000   clear_price   0.2
67800000000000   clear_price   0.2
67860000000000   clear_price   0.2
67920000000000   clear_price   0.2
67980000000000   clear_price   0.2
68040000000000   clear_price   0.2
68100000000000   clear_price   0.2
68160000000000   clear_price   0.2
68220000000000   clear_price   0.2
68280000000000   clear_price   0.2
68340000000000   clear_price   0.2
68400000000000   clear_price   0.2
68460000000000   clear_price   0.2
68520000000000   clear_price   0.2
68580000000000   clear_price   0.2
68640000000000   clear_price   0.2
68700000000000   clear_price   0.2
68760000000000   clear_price   0.2
68820000000000   clear_price   0.2
68880000000000   clear_price   0.2
68940000000000   clear_price   0.2
69000000000000   clear_price   0.2
69060000000000   clear_price   0.2
69120000000000   clear_price   0.2
69180000000000   clear_price   0.2
69240000000000   clear_price   0.2
69300000000000   clear_price   0.2
69360000000000   clear_price   0.2
69420000000000   clear_price   0.2
69480000000000   clear_price   0.2
69540000000000   clear_price   0.2
69600000000000   clear_price   0.2
69660000000000   clear_price   0.2
69720000000000   clear_price   0.2
69780000000000   clear_price   0.2
69840000000000   clear_price   0.2
69900000000000   clear_price   0.2
69960000000000   clear_price   0.2
70020000000000   clear_price   0.2
70080000000000   clear_price   0.2
70140000000000   clear_price   0.2
70200000000000   clear_price   0.2
70260000000000   clear_price   0.2
70320000000000   clear_price   0.2
70380000000000   clear_price   0.2
70440000000000   clear_price   0.2
70500000000000   clear_price   0.2
70560000000000   clear_price   0.2
70620000000000   clear_price   0.2
70680000000000   clear_price   0.2
70740000000000   clear_price   0.2
70800000000000   clear_price   0.2
70860000000000   clear_price   0.2
70920000000000   clear_price   0.2
70980000000000   clear_price   0.2
71040000000000   clear_price   0.2
71100000000000   clear_price   0.2
71160000000000   clear_price   0.2
71220000000000   clear_price   0.2
71280000000000   clear_price   0.2
71340000000000   clear_price   0.2
71400000000000   clear_price   0.2
71460000000000   clear_price   0.2
71520000000000   clear_price   0.2
71580000000000   clear_price   0.2
71640000000000   clear_price   0.2
71700000000000   clear_price   0.2
71760000000000   clear_price   0.2
71820000000000   clear_price   0.2
71880000000000   clear_price   0.2
71940000000000   clear_price   0.2
72000000000000   clear_price   0
72060000000000   clear_price   0
72120000000000   clear_price   0
72180000000000   clear_price   0
72240000000000   clear_price   0
72300000000000   clear_price   0
72360000000000   clear_price   0
72420000000000   clear_price   0
72480000000000   clear_price   0
72540000000000   clear_price   0
72600000000000   clear_price   0
72660000000000   clear_price   0
72720000000000   clear_price   0
72780000000000   clear_price   0
72840000000000   clear_price   0
72900000000000   clear_price   0
72960000000000   clear_price   0
73020000000000   clear_price   0
73080000000000   clear_price   0
73140000000000   clear_price   0
73200000000000   clear_price   0
73260000000000   clear_price   0
73320000000000   clear_price   0
73380000000000   clear_price   0
73440000000000   clear_price   0
73500000000000   clear_price   0
73560000000000   clear_price   0
73620000000000   clear_price   0
73680000000000   clear_price   0
73740000000000   clear_price   0
73800000000000   clear_price   0
73860000000000   clear_price   0
73920000000000   clear_price   0
73980000000000   clear_price   0
74040000000000   clear_price   0
74100000000000   clear_price   0
74160000000000   clear_price   0
74220000000000   clear_price   0
74280000000000   clear_price   0
74340000000000   clear_price   0
74400000000000   clear_price   0
74460000000000   clear_price   0
74520000000000   clear_price   0
74580000000000   clear_price   0
74640000000000   clear_price   0
74700000000000   clear_price   0
74760000000000   clear_price   0
74820000000000   clear_price   0
74880000000000   clear_price   0
74940000000000   clear_price   0
75000000000000   clear_price   0
75060000000000   clear_price   0
75120000000000   clear_price   0
75180000000000   clear_price   0
75240000000000   clear_price   0
75300000000000   clear_price   0
75360000000000   clear_price   0
75420000000000   clear_price   0
75480000000000   clear_price   0
75540000000000   clear_price   0
75600000000000   clear_price   0
75660000000000   clear_price   0
75720000000000   clear_price   0
75780000000000   clear_price   0
75840000000000   clear_price   0
75900000000000   clear_price   0
75960000000000   clear_price   0
76020000000000   clear_price   0
76080000000000   clear_price   0
76140000000000   clear_price   0
76200000000000   clear_price   0
76260000000000   clear_price   0
76320000000000   clear_price   0
76380000000000   clear_price   0
76440000000000   clear_price   0
76500000000000   clear_price   0
76560000000000   clear_price   0
76620000000000   clear_price   0
76680000000000   clear_price   0
76740000000000   clear_price   0
76800000000000   clear_price   0
76860000000000   clear_price   0
76920000000000   clear_price   0
76980000000000   clear_price   0
77040000000000   clear_price   0
77100000000000   clear_price   0
77160000000000   clear_price   0
77220000000000   clear_price   0
77280000000000   clear_price   0
77340000000000   clear_price   0
77400000000000   clear_price   0
77460000000000   clear_price   0
77520000000000   clear_price   0
77580000000000   clear_price   0
77640000000000   clear_price   0
77700000000000   clear_price   0
77760000000000   clear_price   0
77820000000000   clear_price   0
77880000000000   clear_price   0
77940000000000   clear_price   0
78000000000000   clear_price   0
78060000000000   clear_price   0
78120000000000   clear_price   0
78180000000000   clear_price   0
78240000000000   clear_price   0
78300000000000   clear_price   0
78360000000000   clear_price   0
78420000000000   clear_price   0
78480000000000   clear_price   0
78540000000000   clear_price   0
78600000000000   clear_price   0
78660000000000   clear_price   0
78720000000000   clear_price   0
78780000000000   clear_price   0
78840000000000   clear_price   0
78900000000000   clear_price   0
78960000000000   clear_price   0
79020000000000   clear_price   0
79080000000000   clear_price   0
79140000000000   clear_price   0
79200000000000   clear_price   0
79260000000000   clear_price   0
79320000000000   clear_price   0
79380000000000   clear_price   0
79440000000000   clear_price   0
79500000000000   clear_price   0
79560000000000   clear_price   0
79620000000000   clear_price   0
79680000000000   clear_price   0
79740000000000   clear_price   0
79800000000000   clear_price   0
79860000000000   clear_price   0
79920000000000   clear_price   0
79980000000000   clear_price   0
80040000000000   clear_price   0
80100000000000   clear_price   0
80160000000000   clear_price   0
80220000000000   clear_price   0
